"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"23,5";"23,5";"22,6";"93,0";"94,0";"91,0";"22,3";"22,4";"21,2";"1004,4";"1004,4";"1004,3";"1,0";"54,0";"2,3";"";"0,0"
"01/01/2019";"0100";"23,6";"23,9";"23,5";"93,0";"94,0";"93,0";"22,4";"22,8";"22,3";"1004,7";"1004,8";"1004,4";"1,3";"27,0";"2,4";"";"0,0"
"01/01/2019";"0200";"22,8";"23,6";"22,7";"94,0";"94,0";"93,0";"21,9";"22,5";"21,6";"1004,5";"1004,7";"1004,5";"0,3";"155,0";"1,9";"";"0,0"
"01/01/2019";"0300";"22,5";"22,9";"22,1";"95,0";"95,0";"94,0";"21,6";"21,9";"21,2";"1004,1";"1004,5";"1004,1";"0,3";"208,0";"1,2";"";"0,0"
"01/01/2019";"0400";"22,5";"22,6";"22,1";"95,0";"95,0";"95,0";"21,7";"21,8";"21,2";"1003,6";"1004,1";"1003,6";"0,2";"12,0";"0,8";"";"0,0"
"01/01/2019";"0500";"22,7";"22,8";"22,5";"95,0";"95,0";"95,0";"21,9";"22,0";"21,7";"1003,9";"1003,9";"1003,6";"1,1";"151,0";"1,9";"";"0,0"
"01/01/2019";"0600";"22,7";"23,1";"22,7";"95,0";"95,0";"95,0";"21,9";"22,3";"21,9";"1004,3";"1004,3";"1003,9";"0,3";"4,0";"1,9";"";"0,2"
"01/01/2019";"0700";"23,1";"23,2";"22,7";"95,0";"95,0";"95,0";"22,3";"22,4";"21,9";"1004,9";"1004,9";"1004,3";"0,2";"259,0";"0,9";"";"0,2"
"01/01/2019";"0800";"22,7";"23,1";"22,7";"95,0";"96,0";"95,0";"22,0";"22,3";"21,9";"1005,5";"1005,5";"1004,9";"0,4";"168,0";"0,9";"";"0,0"
"01/01/2019";"0900";"22,9";"23,0";"22,6";"96,0";"96,0";"95,0";"22,2";"22,3";"21,9";"1006,4";"1006,4";"1005,5";"0,4";"139,0";"1,1";"74,00";"0,0"
"01/01/2019";"1000";"24,6";"24,7";"22,9";"96,0";"96,0";"95,0";"23,9";"23,9";"22,2";"1006,8";"1006,8";"1006,4";"0,4";"77,0";"0,8";"404,30";"0,0"
