,ID,CD_GEOCODIGO,TIPO,CD_GEOCODBA,NM_BAIRRO,CD_GEOCODSD,NM_SUBDISTRITO,CD_GEOCODDS,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT,GM_PONTO_sk
,1,110001505000001,URBANO,110001505006,Redondo,11000150500,,110001505,ALTA FLORESTA D'OESTE,1100015,ALTA FLORESTA D'OESTE,CACOAL,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,ALTA FLORESTA D'OESTE,-61.9998239,-11.9355403,337.735719,1J6+^YP=gnhf
,2,110001515000001,URBANO,,,11000151500,,110001515,FILADÉLFIA D'OESTE,1100015,ALTA FLORESTA D'OESTE,CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,15,VILA,FILADÉLFIA D'OESTE,-62.04389767,-12.43723873,215.244429,1J6+gStX@d?>
,3,110001520000001,URBANO,,,11000152000,,110001520,IZIDOLÂNDIA,1100015,ALTA FLORESTA D'OESTE,CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,20,VILA,IZIDOLÂNDIA,-62.17554949,-12.60141549,181.044807,1J6+gwlc:Gtp
,4,110001525000001,URBANO,,,11000152500,,110001525,NOVA GEASE D'OESTE,1100015,ALTA FLORESTA D'OESTE,CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,25,VILA,NOVA GEASE D'OESTE,-62.31865014,-11.91979246,191.576571,1J6+^nhO?byf
,5,110001530000001,URBANO,,,11000153000,,110001530,ROLIM DE MOURA DO GUAPORÉ,1100015,ALTA FLORESTA D'OESTE,CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,30,VILA,ROLIM DE MOURA DO GUAPORÉ,-62.27681227,-13.07980643,157.285277,1J6+Hn4dy6Y-
,6,110001535000001,URBANO,,,11000153500,,110001535,SANTO ANTÔNIO D'OESTE,1100015,ALTA FLORESTA D'OESTE,CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,35,VILA,SANTO ANTÔNIO D'OESTE,-62.10442834,-12.08943882,407.707855,1J6+g2mLy)Tf
,7,110002305000001,URBANO,,,11000230500,,110002305,ARIQUEMES,1100023,ARIQUEMES,ARIQUEMES,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,ARIQUEMES,-63.03326928,-9.908462867,138.688981,1J6{7^Xi:vOp
,8,110003105000001,URBANO,,,11000310500,,110003105,CABIXI,1100031,CABIXI,COLORADO DO OESTE,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,CABIXI,-60.54431358,-13.49976346,236.06316,1J6+O_Y;K@z>
,9,110003105000008,RURAL,,,11000310500,,110003105,CABIXI,1100031,CABIXI,COLORADO DO OESTE,LESTE RONDONIENSE,RONDÔNIA,3,00001,POVOADO,PLANALTO SÃO LUIZ,-60.41520649,-13.37444677,264.992801,1J6+O+1hOWX-
,10,110004905000001,URBANO,110004905003,Princesa Isabel,11000490500,,110004905,CACOAL,1100049,CACOAL,CACOAL,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,CACOAL,-61.44294421,-11.43386503,177.453547,1J6+_2d21Tif
