"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"26,2";"26,4";"26,2";"91,0";"91,0";"90,0";"24,7";"24,7";"24,6";"1009,4";"1009,4";"1009,3";"3,6";"91,0";"6,7";"";"0,0"
"01/01/2019";"0100";"26,1";"26,2";"26,1";"90,0";"91,0";"90,0";"24,4";"24,6";"24,4";"1009,6";"1009,7";"1009,4";"3,6";"92,0";"7,1";"";"0,0"
"01/01/2019";"0200";"26,1";"26,2";"26,0";"91,0";"91,0";"90,0";"24,5";"24,6";"24,4";"1009,4";"1009,6";"1009,4";"3,6";"89,0";"7,1";"";"0,0"
"01/01/2019";"0300";"26,1";"26,2";"26,0";"90,0";"91,0";"90,0";"24,3";"24,6";"24,3";"1008,9";"1009,4";"1008,9";"3,6";"85,0";"7,1";"";"0,0"
"01/01/2019";"0400";"25,7";"26,1";"25,7";"91,0";"91,0";"90,0";"24,2";"24,4";"24,2";"1008,6";"1008,9";"1008,6";"3,2";"83,0";"6,6";"";"0,0"
"01/01/2019";"0500";"26,0";"26,0";"25,7";"91,0";"92,0";"91,0";"24,4";"24,4";"24,2";"1008,7";"1008,8";"1008,4";"2,5";"75,0";"6,3";"";"0,0"
"01/01/2019";"0600";"25,7";"26,2";"25,7";"90,0";"91,0";"88,0";"23,9";"24,5";"23,9";"1009,3";"1009,3";"1008,7";"2,3";"73,0";"6,2";"";"0,0"
"01/01/2019";"0700";"25,7";"25,7";"25,6";"92,0";"92,0";"90,0";"24,3";"24,3";"23,8";"1009,7";"1009,8";"1009,3";"2,7";"67,0";"5,0";"";"0,0"
"01/01/2019";"0800";"25,9";"26,0";"25,7";"92,0";"92,0";"91,0";"24,4";"24,5";"24,2";"1010,6";"1010,6";"1009,7";"3,5";"104,0";"6,6";"";"0,0"
"01/01/2019";"0900";"26,9";"27,0";"25,9";"88,0";"92,0";"88,0";"24,8";"25,0";"24,4";"1011,3";"1011,3";"1010,6";"2,9";"103,0";"6,6";"180,80";"0,0"
"01/01/2019";"1000";"28,5";"28,5";"26,9";"82,0";"88,0";"81,0";"25,1";"25,1";"24,2";"1011,6";"1011,6";"1011,3";"3,5";"96,0";"6,6";"746,50";"0,0"
"01/01/2019";"1100";"28,5";"29,0";"27,6";"78,0";"82,0";"77,0";"24,3";"25,0";"23,9";"1012,0";"1012,0";"1011,6";"5,0";"94,0";"8,0";"1375,50";"0,0"
"01/01/2019";"1200";"29,6";"29,9";"28,4";"75,0";"79,0";"73,0";"24,8";"25,1";"23,8";"1012,0";"1012,1";"1011,9";"3,9";"112,0";"8,0";"2498,50";"0,0"
"01/01/2019";"1300";"30,1";"30,6";"28,9";"72,0";"77,0";"71,0";"24,6";"25,1";"23,8";"1012,1";"1012,1";"1012,0";"5,2";"115,0";"8,7";"2980,60";"0,0"
"01/01/2019";"1400";"29,4";"31,1";"28,8";"74,0";"77,0";"69,0";"24,3";"25,3";"23,8";"1012,0";"1012,1";"1012,0";"4,4";"102,0";"8,7";"3007,10";"0,0"
"01/01/2019";"1500";"30,3";"30,8";"29,2";"70,0";"76,0";"70,0";"24,2";"25,5";"24,0";"1011,5";"1012,0";"1011,4";"5,1";"110,0";"9,3";"3401,00";"0,0"
"01/01/2019";"1600";"29,3";"30,4";"28,7";"76,0";"76,0";"69,0";"24,5";"25,3";"23,4";"1010,8";"1011,5";"1010,8";"5,5";"120,0";"8,6";"3318,20";"0,0"
"01/01/2019";"1700";"29,6";"30,7";"28,5";"75,0";"76,0";"71,0";"24,6";"25,2";"23,7";"1010,3";"1010,9";"1010,2";"5,5";"115,0";"8,7";"3199,40";"0,0"
"01/01/2019";"1800";"28,5";"29,7";"28,4";"75,0";"77,0";"73,0";"23,7";"24,8";"23,7";"1009,9";"1010,3";"1009,9";"5,4";"128,0";"8,6";"2522,10";"0,0"
