"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"23,7";"24,6";"23,3";"76,0";"78,0";"72,0";"19,2";"19,4";"19,1";"963,1";"963,2";"963,0";"0,2";"173,0";"1,6";"";"0,0"
"01/01/2019";"0100";"22,6";"23,9";"22,6";"80,0";"80,0";"75,0";"18,9";"19,2";"18,9";"963,0";"963,1";"962,9";"0,3";"190,0";"2,1";"";"0,0"
"01/01/2019";"0200";"21,3";"22,9";"21,3";"84,0";"84,0";"77,0";"18,5";"19,0";"18,5";"963,6";"963,6";"963,0";"2,1";"138,0";"8,6";"";"0,0"
"01/01/2019";"0300";"23,3";"23,4";"21,2";"77,0";"85,0";"75,0";"19,0";"19,0";"18,1";"963,7";"963,9";"963,6";"0,1";"229,0";"8,6";"";"0,0"
"01/01/2019";"0400";"22,2";"23,3";"22,1";"80,0";"82,0";"77,0";"18,6";"19,1";"18,6";"963,8";"963,8";"963,5";"0,1";"189,0";"1,3";"";"0,0"
"01/01/2019";"0500";"22,6";"22,7";"22,2";"82,0";"82,0";"80,0";"19,4";"19,5";"18,7";"963,9";"963,9";"963,8";"0,0";"184,0";"1,8";"";"0,0"
"01/01/2019";"0600";"22,9";"23,0";"22,6";"82,0";"83,0";"82,0";"19,8";"19,8";"19,4";"964,1";"964,1";"963,9";"0,0";"210,0";"1,5";"";"0,0"
"01/01/2019";"0700";"22,9";"23,5";"22,9";"83,0";"84,0";"80,0";"20,0";"20,2";"19,7";"964,6";"964,6";"964,0";"0,0";"193,0";"1,0";"";"0,0"
"01/01/2019";"0800";"22,7";"22,9";"22,4";"83,0";"86,0";"83,0";"19,7";"20,0";"19,7";"965,1";"965,1";"964,6";"0,0";"120,0";"0,8";"";"0,0"
"01/01/2019";"0900";"22,6";"22,8";"22,5";"84,0";"85,0";"83,0";"19,8";"20,0";"19,7";"965,9";"965,9";"965,1";"0,4";"193,0";"2,2";"12,50";"0,0"
"01/01/2019";"1000";"23,4";"23,4";"22,6";"84,0";"88,0";"84,0";"20,6";"21,1";"19,8";"966,5";"966,5";"965,9";"0,1";"170,0";"2,2";"205,40";"0,0"
"01/01/2019";"1100";"26,0";"26,0";"23,4";"74,0";"86,0";"71,0";"20,9";"21,3";"20,4";"967,0";"967,0";"966,4";"0,7";"159,0";"3,2";"876,20";"0,0"
"01/01/2019";"1200";"26,8";"28,0";"25,8";"69,0";"74,0";"65,0";"20,7";"21,4";"20,4";"967,2";"967,2";"966,9";"1,2";"138,0";"4,5";"2087,40";"0,0"
"01/01/2019";"1300";"27,6";"27,9";"26,4";"68,0";"72,0";"66,0";"21,2";"21,7";"20,5";"967,1";"967,2";"967,0";"1,8";"120,0";"4,0";"1688,80";"0,0"
"01/01/2019";"1400";"27,5";"28,5";"26,8";"68,0";"72,0";"64,0";"21,1";"21,8";"20,8";"966,4";"967,1";"966,4";"1,3";"193,0";"3,9";"1994,60";"0,0"
"01/01/2019";"1500";"29,9";"30,3";"27,4";"62,0";"69,0";"61,0";"21,9";"22,5";"20,7";"965,8";"966,5";"965,8";"3,2";"190,0";"6,3";"2013,60";"0,0"
"01/01/2019";"1600";"31,7";"31,7";"28,2";"54,0";"66,0";"53,0";"21,3";"21,8";"20,3";"964,7";"965,8";"964,7";"2,2";"206,0";"6,3";"3223,00";"0,0"
"01/01/2019";"1700";"32,1";"32,2";"30,9";"49,0";"55,0";"46,0";"19,9";"21,5";"19,1";"963,7";"964,7";"963,7";"1,6";"192,0";"5,1";"3133,80";"0,0"
"01/01/2019";"1800";"32,8";"33,0";"32,1";"45,0";"51,0";"44,0";"19,4";"20,6";"19,0";"962,8";"963,7";"962,8";"2,0";"154,0";"5,0";"2828,30";"0,0"
"01/01/2019";"1900";"33,1";"33,4";"32,7";"45,0";"48,0";"44,0";"19,5";"20,4";"19,1";"962,3";"962,8";"962,3";"2,2";"175,0";"7,2";"2186,30";"0,0"
"01/01/2019";"2000";"32,4";"33,2";"31,6";"48,0";"49,0";"44,0";"19,8";"20,0";"19,2";"962,4";"962,4";"962,2";"1,9";"201,0";"5,2";"1163,90";"0,0"
"01/01/2019";"2100";"30,2";"32,4";"30,2";"54,0";"55,0";"47,0";"19,9";"20,1";"19,1";"962,7";"962,7";"962,3";"0,7";"212,0";"3,4";"290,20";"0,0"
