,ID,NM_MUNICIPIO,LONG,LAT,ALT
0,9251,Abaíra,-41.66160848,-13.25353189,674.223656
1,9255,Abaré,-39.11658794,-8.723418246,316.381994
2,9264,Acajutiba,-38.01828637,-11.66261283,183.928384
3,9266,Adustina,-38.11550583,-10.52957157,280.710248
4,9270,Água Fria,-38.7680778,-11.872931,299.885981
5,9272,Érico Cardoso,-42.13616373,-13.4223478,726.676975
6,9280,Aiquara,-39.88577801,-14.12727749,155.101843
7,9282,Alagoinhas,-38.42261577,-12.13418259,141.137056
8,9289,Alcobaça,-39.19421432,-17.51893334,6.398941
9,9295,Almadina,-39.63590318,-14.70604775,290.725503
10,9296,Amargosa,-39.5981225,-13.03445136,393.843499
11,9300,Amélia Rodrigues,-38.75555692,-12.4001884,203.610518
12,9304,América Dourada,-41.43716328,-11.44964586,688.068958
13,9312,Anagé,-41.12711317,-14.61132559,390.04906
14,9320,Andaraí,-41.3246418,-12.80135065,416.653209
15,9325,Andorinha,-39.8323357,-10.34424004,414.549904
16,9331,Angical,-44.69582348,-12.00668277,471
17,9336,Anguera,-39.24849892,-12.14958707,238.081262
18,9338,Antas,-38.33104168,-10.41270217,432.826899
19,9345,Antônio Cardoso,-39.11866154,-12.43483891,167.955661
20,9349,Antônio Gonçalves,-40.2756587,-10.57579779,500.564109
21,9355,Aporá,-38.07999535,-11.65539429,190.109812
22,9364,Apuarema,-39.74213212,-13.85322885,272.548636
23,9365,Aracatu,-41.46168532,-14.42663024,737.282011
24,9366,Araças,-38.19828802,-12.21519967,70.622276
25,9367,Araci,-38.96095816,-11.33572788,267.938939
26,9388,Aramari,-38.50306635,-12.08818298,216.236011
27,9390,Arataca,-39.41328157,-15.260873,158.917844
28,9394,Aratuípe,-39.00291087,-13.08059654,5.220357
29,9396,Aurelino Leal,-39.32199664,-14.31694945,48.172479
30,9399,Baianópolis,-44.53609805,-12.3041247,672.202298
31,9408,Baixa Grande,-40.16686091,-11.95935749,365.261043
32,9417,Banzaê,-38.61186963,-10.57409194,340.624531
33,9437,Barra,-43.14363855,-11.08895482,409.894135
34,9452,Barra da Estiva,-41.33169587,-13.62020456,1038.879569
35,9456,Barra do Choça,-40.57637299,-14.86427304,874.568162
36,9466,Barra do Mendes,-42.05912842,-11.80882828,722.080571
37,9475,Barra do Rocha,-39.60138609,-14.21002925,121.43988
38,9477,Barreiras,-45.00416844,-12.14492489,441.997802
39,9483,Barro Alto,-41.91209606,-11.76106392,701.39266
40,9492,Barrocas,-39.07866888,-11.52911285,379.547004
41,9501,Barro Preto,-39.47333467,-14.80975439,146.383547
42,9502,Belmonte,-38.88030324,-15.86139649,5.311584
43,9508,Belo Campo,-41.26003348,-15.0334962,846.984105
44,9513,Biritinga,-38.81215892,-11.62011026,256.067065
45,9515,Boa Nova,-40.20052189,-14.36260794,693.012825
46,9519,Boa Vista do Tupim,-40.60574282,-12.66132219,319.067208
47,9533,Bom Jesus da Lapa,-43.41714164,-13.25411437,436.928875
48,9550,Bom Jesus da Serra,-40.50117633,-14.37292229,642.00043
49,9553,Boninal,-41.82432848,-12.71512079,943.736529
50,9566,Bonito,-41.26840279,-11.9695725,983.311876
51,9572,Boquira,-42.7301154,-12.82082283,639.376772
52,9578,Botuporã,-42.52927756,-13.38086621,645.261691
53,9582,Brejões,-39.79349159,-13.10553648,589.388013
54,9587,Brejolândia,-43.96566459,-12.48669334,537.202051
55,9597,Brotas de Macaúbas,-42.62469129,-12.00263554,813.095159
56,9609,Brumado,-41.6670695,-14.20543824,440.086521
57,9619,Buerarema,-39.30251961,-14.95644084,115.229004
58,9620,Buritirama,-43.6313809,-10.71179147,487.090096
59,9623,Caatiba,-40.41027248,-14.97855064,339.937543
60,9625,Cabaceiras do Paraguaçu,-39.18671309,-12.53713579,196.027965
61,9627,Cachoeira,-38.96939807,-12.5962108,53.996198
62,9632,Caculé,-42.2214141,-14.5042062,589.345762
63,9634,Caém,-40.43731194,-11.09309152,485.381962
64,9637,Caetanos,-40.90928964,-14.33856297,421.699938
65,9640,Caetité,-42.48571145,-14.06675432,811.854448
66,9646,Cafarnaum,-41.47222151,-11.69135622,764.333748
67,9652,Cairu,-39.04325436,-13.4876034,17.51928
68,9661,Caldeirão Grande,-40.30737036,-11.02215578,465.189037
69,9665,Camacan,-39.49636733,-15.41762685,161.844972
70,9668,Camaçari,-38.32574006,-12.69881676,33.535142
71,9683,Camamu,-39.10056972,-13.94707634,7
72,9697,Campo Alegre de Lourdes,-43.01229844,-9.517154114,475.44413
73,9703,Campo Formoso,-40.31882099,-10.50566155,600.617183
74,9726,Canápolis,-44.20502899,-13.0759115,703.496285
75,9729,Canarana,-41.76549223,-11.68758331,708.193661
76,9740,Canavieiras,-38.94737587,-15.67977748,7.921183
77,9749,Candeal,-39.1237185,-11.80497023,245.417244
78,9752,Candeias,-38.54359627,-12.67192271,110.386656
79,9760,Candiba,-42.86440234,-14.4131865,588.23558
80,9762,Cândido Sales,-41.24111759,-15.50606635,668.960695
81,9772,Cansanção,-39.49660501,-10.66674991,397.14403
82,9788,Canudos,-39.02407124,-9.890672961,373.686414
83,9793,Capela do Alto Alegre,-39.83535531,-11.67008164,393.677459
84,9798,Capim Grosso,-40.01100061,-11.38157446,418.669268
85,9802,Caraíbas,-41.26543132,-14.72206949,446.007294
86,9804,Caravelas,-39.25338222,-17.73337053,6.00266
87,9813,Cardeal da Silva,-37.94547658,-11.94076741,62.451149
88,9817,Carinhanha,-43.7617772,-14.3020069,446.452146
89,9835,Casa Nova,-40.97579693,-9.178594574,403.34371
90,9846,Castro Alves,-39.42651943,-12.76583264,254.853072
91,9853,Catolândia,-44.85977028,-12.31600594,606.176021
92,9854,Catu,-38.3762943,-12.35518656,101.342039
93,9858,Caturama,-42.29640664,-13.32820135,589.268067
94,9860,Central,-42.11234898,-11.13798858,705.724131
95,9874,Chorrochó,-39.10237008,-8.975477804,338.573917
96,9879,Cícero Dantas,-38.38341913,-10.59217153,439.955698
97,9892,Cipó,-38.5171294,-11.10114356,131.048217
98,9894,Coaraci,-39.55230426,-14.6368142,203.233977
99,9898,Cocos,-44.54566886,-14.17107755,629.153853
100,9903,Conceição da Feira,-38.9997808,-12.50399191,229.616148
101,9905,Conceição do Almeida,-39.17094645,-12.77802032,216.773831
102,9912,Conceição do Coité,-39.28168418,-11.56182585,421.784086
103,9931,Conceição do Jacuípe,-38.76367372,-12.32294646,205.126237
104,9934,Conde,-37.60697798,-11.81343176,6.795436
105,9945,Condeúba,-41.97080954,-14.89041036,646.549534
106,9950,Contendas do Sincorá,-41.04631806,-13.75549683,313.050082
107,9953,Coração de Maria,-38.75051655,-12.24792101,236.875556
108,9956,Cordeiros,-41.93573391,-15.03723411,714.729949
109,9958,Coribe,-44.45303643,-13.82784161,673.810455
110,9963,Coronel João Sá,-37.93296434,-10.2793954,206.504944
