CIDADE;TEMPERATURA MÉDIA;ALT(M);LAT (º DEC.);LONG (ºdec);MÊS;ANO
Alagoinhas;26.7;128.8;12.1;38.4;1;1999
Alagoinhas;26.7;128.8;12.1;38.4;2;1999
Alagoinhas;27.0;128.8;12.1;38.4;3;1999
Alagoinhas;25.6;128.8;12.1;38.4;4;1999
Alagoinhas;24.2;128.8;12.1;38.4;5;1999
Alagoinhas;23.0;128.8;12.1;38.4;6;1999
Alagoinhas;22.1;128.8;12.1;38.4;7;1999
Alagoinhas;21.3;128.8;12.1;38.4;8;1999
Alagoinhas;22.3;128.8;12.1;38.4;9;1999
Alagoinhas;23.3;128.8;12.1;38.4;10;1999
Alagoinhas;24.5;128.8;12.1;38.4;11;1999
Alagoinhas;25.1;128.8;12.1;38.4;12;1999
Alagoinhas;25.4;128.8;12.1;38.4;1;2000
Alagoinhas;25.8;128.8;12.1;38.4;2;2000
Alagoinhas;25.5;128.8;12.1;38.4;3;2000
Alagoinhas;24.8;128.8;12.1;38.4;4;2000
Alagoinhas;23.9;128.8;12.1;38.4;5;2000
Alagoinhas;22.7;128.8;12.1;38.4;6;2000
Alagoinhas;21.7;128.8;12.1;38.4;7;2000
Alagoinhas;22.0;128.8;12.1;38.4;8;2000
Alagoinhas;22.8;128.8;12.1;38.4;9;2000
Alagoinhas;23.8;128.8;12.1;38.4;10;2000
Alagoinhas;25.0;128.8;12.1;38.4;11;2000
Alagoinhas;25.1;128.8;12.1;38.4;12;2000
Alagoinhas;24.9;128.8;12.1;38.4;1;2001
Alagoinhas;26.1;128.8;12.1;38.4;2;2001
Alagoinhas;25.8;128.8;12.1;38.4;3;2001
Alagoinhas;24.4;128.8;12.1;38.4;4;2001
Alagoinhas;24.7;128.8;12.1;38.4;5;2001
Alagoinhas;22.7;128.8;12.1;38.4;6;2001
Alagoinhas;22.2;128.8;12.1;38.4;7;2001
Alagoinhas;21.6;128.8;12.1;38.4;8;2001
Alagoinhas;22.8;128.8;12.1;38.4;9;2001
Alagoinhas;24.3;128.8;12.1;38.4;10;2001
Alagoinhas;25.2;128.8;12.1;38.4;11;2001
Alagoinhas;26.1;128.8;12.1;38.4;12;2001
Alagoinhas;25.4;128.8;12.1;38.4;1;2002
Alagoinhas;25.6;128.8;12.1;38.4;2;2002
Alagoinhas;25.9;128.8;12.1;38.4;3;2002
Alagoinhas;24.9;128.8;12.1;38.4;4;2002
Alagoinhas;23.6;128.8;12.1;38.4;5;2002
Alagoinhas;22.8;128.8;12.1;38.4;6;2002
Alagoinhas;22.7;128.8;12.1;38.4;7;2002
Alagoinhas;22.1;128.8;12.1;38.4;8;2002
Alagoinhas;23.2;128.8;12.1;38.4;9;2002
Alagoinhas;24.2;128.8;12.1;38.4;10;2002
Alagoinhas;25.1;128.8;12.1;38.4;11;2002
Alagoinhas;26.3;128.8;12.1;38.4;12;2002
Alagoinhas;27.5;128.8;12.1;38.4;1;2003
