,CIDADE,TEMPERATURA MÉDIA,id
0,Alagoinhas,24.958333333333332,0
1,Barra,27.71666666666667,1
2,Barreiras,25.975,2
3,Bom Jesus da Lapa,28.291666666666668,3
4,Caetité,22.5,4
5,Caravelas,25.05,5
6,Carinhanha,26.96666666666667,6
7,Cipó,26.258333333333333,7
8,Correntina,25.125,8
9,Cruz das Almas,24.475,9
10,Feira de Santana,24.96666666666667,10
11,Guaratinga,24.75,11
12,Irecê,24.725,12
13,Itaberaba,25.741666666666667,13
14,Itiruçu,21.291666666666668,14
15,Jacobina,24.483333333333334,15
16,Lençóis,24.266666666666666,16
17,Monte Santo,24.125,17
18,Morro do Chapéu,21.75,18
19,Paulo Afonso,28.275,19
20,Remanso,27.85,20
21,Senhor do Bonfim,24.791666666666668,21
22,Serrinha,24.875,22
23,Santa Rita de Cássia,26.191666666666666,23
24,Vitória da Conquista,21.25,24
25,Abaíra,24.1839599609375,25
26,Abaré,26.636260986328125,26
27,Acajutiba,25.853530883789062,27
28,Adustina,25.7750244140625,28
29,Água Fria,25.47064208984375,29
30,Érico Cardoso,24.041122436523438,30
31,Aiquara,25.916244506835938,31
32,Alcobaça,25.230178833007812,32
33,Almadina,24.882766723632812,33
34,Amargosa,24.903839111328125,34
35,Amélia Rodrigues,25.794998168945312,35
36,América Dourada,24.65185546875,36
37,Anagé,25.0045166015625,37
38,Andaraí,25.581558227539062,38
39,Andorinha,25.837722778320312,39
40,Angical,26.972030639648438,40
41,Anguera,25.903610229492188,41
42,Antas,25.0916748046875,42
43,Antônio Cardoso,26.12451171875,43
44,Antônio Gonçalves,25.480117797851562,44
45,Aporá,25.848663330078125,45
46,Apuarema,25.324478149414062,46
47,Aracatu,23.350326538085938,47
48,Araças,26.340194702148438,48
49,Araci,25.910919189453125,49
50,Aramari,25.732376098632812,50
51,Arataca,25.300216674804688,51
52,Aratuípe,26.719940185546875,52
53,Aurelino Leal,26.187332153320312,53
54,Baianópolis,25.724136352539062,54
55,Baixa Grande,25.671783447265625,55
56,Banzaê,25.64501953125,56
57,Barra da Estiva,21.966201782226562,57
58,Barra do Choça,22.093460083007812,58
59,Barra do Mendes,24.601837158203125,59
60,Barra do Rocha,25.949066162109375,60
61,Barro Alto,24.668258666992188,61
62,Barrocas,25.294464111328125,62
63,Barro Preto,25.5511474609375,63
64,Belmonte,25.689224243164062,64
65,Belo Campo,22.465713500976562,65
66,Biritinga,25.812484741210938,66
67,Boa Nova,23.085556030273438,67
68,Boa Vista do Tupim,25.854293823242188,68
69,Bom Jesus da Serra,23.479843139648438,69
70,Boninal,22.998886108398438,70
71,Bonito,22.818572998046875,71
72,Boquira,24.967041015625,72
73,Botuporã,24.654876708984375,73
74,Brejões,23.913558959960938,74
75,Brejolândia,26.145172119140625,75
76,Brotas de Macaúbas,24.281646728515625,76
77,Brumado,25.1041259765625,77
78,Buerarema,25.595184326171875,78
79,Buritirama,26.899337768554688,79
80,Caatiba,24.845413208007812,80
81,Cabaceiras do Paraguaçu,25.966644287109375,81
82,Cachoeira,26.615570068359375,82
83,Caculé,24.430557250976562,83
84,Caém,25.446441650390625,84
85,Caetanos,24.840576171875,85
86,Cafarnaum,24.173095703125,86
87,Cairu,26.527572631835938,87
88,Caldeirão Grande,25.525497436523438,88
89,Camacan,25.263870239257812,89
90,Camaçari,26.421356201171875,90
91,Camamu,26.445846557617188,91
92,Campo Alegre de Lourdes,27.125,92
93,Campo Formoso,24.987319946289062,93
94,Canápolis,25.147216796875,94
95,Canarana,24.5968017578125,95
96,Canavieiras,25.767181396484375,96
97,Candeal,25.933853149414062,97
98,Candeias,26.110092163085938,98
99,Candiba,24.735855102539062,99
100,Cândido Sales,23.244140625,100
101,Cansanção,25.677703857421875,101
102,Canudos,25.880126953125,102
103,Capela do Alto Alegre,25.483856201171875,103
104,Capim Grosso,25.524658203125,104
