CIDADE,TEMPERATURA MÉDIA,ALT(M),LAT (º DEC.),LONG (ºdec),MÊS,ANO,,,,,
ALAGOINHAS,"26,7","128,8","12,1","38,4",1,1999,,,,,
ALAGOINHAS,"26,7","128,8","12,1","38,4",2,1999,,,,,
ALAGOINHAS,"27,0","128,8","12,1","38,4",3,1999,,,,,
ALAGOINHAS,"25,6","128,8","12,1","38,4",4,1999,,,,,
ALAGOINHAS,"24,2","128,8","12,1","38,4",5,1999,,,,,
ALAGOINHAS,"23,0","128,8","12,1","38,4",6,1999,,,,,
ALAGOINHAS,"22,1","128,8","12,1","38,4",7,1999,,,,,
ALAGOINHAS,"21,3","128,8","12,1","38,4",8,1999,,,,,
ALAGOINHAS,"22,3","128,8","12,1","38,4",9,1999,,,,,
ALAGOINHAS,"23,3","128,8","12,1","38,4",10,1999,,,,,
ALAGOINHAS,"24,5","128,8","12,1","38,4",11,1999,,,,,
ALAGOINHAS,"25,1","128,8","12,1","38,4",12,1999,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",1,2000,,,,,
ALAGOINHAS,"25,8","128,8","12,1","38,4",2,2000,,,,,
ALAGOINHAS,"25,5","128,8","12,1","38,4",3,2000,,,,,
ALAGOINHAS,"24,8","128,8","12,1","38,4",4,2000,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",5,2000,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",6,2000,,,,,
ALAGOINHAS,"21,7","128,8","12,1","38,4",7,2000,,,,,
ALAGOINHAS,"22,0","128,8","12,1","38,4",8,2000,,,,,
ALAGOINHAS,"22,8","128,8","12,1","38,4",9,2000,,,,,
ALAGOINHAS,"23,8","128,8","12,1","38,4",10,2000,,,,,
ALAGOINHAS,"25,0","128,8","12,1","38,4",11,2000,,,,,
ALAGOINHAS,"25,1","128,8","12,1","38,4",12,2000,,,,,
ALAGOINHAS,"24,9","128,8","12,1","38,4",1,2001,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",2,2001,,,,,
ALAGOINHAS,"25,8","128,8","12,1","38,4",3,2001,,,,,
ALAGOINHAS,"24,4","128,8","12,1","38,4",4,2001,,,,,
ALAGOINHAS,"24,7","128,8","12,1","38,4",5,2001,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",6,2001,,,,,
ALAGOINHAS,"22,2","128,8","12,1","38,4",7,2001,,,,,
ALAGOINHAS,"21,6","128,8","12,1","38,4",8,2001,,,,,
ALAGOINHAS,"22,8","128,8","12,1","38,4",9,2001,,,,,
ALAGOINHAS,"24,3","128,8","12,1","38,4",10,2001,,,,,
ALAGOINHAS,"25,2","128,8","12,1","38,4",11,2001,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",12,2001,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",1,2002,,,,,
ALAGOINHAS,"25,6","128,8","12,1","38,4",2,2002,,,,,
