,CIDADE,TEMPERATURA MÉDIA,ALT(M),LAT (º DEC.),LONG (ºdec),MÊS,ANO
0,Alagoinhas,25.9,128.8,12.1,38.4,12,2019
1,Alagoinhas,21.7,128.8,12.1,38.4,7,2004
2,Alagoinhas,21.8,128.8,12.1,38.4,7,2006
3,Alagoinhas,24.7,128.8,12.1,38.4,5,2016
4,Alagoinhas,24.4,128.8,12.1,38.4,5,2012
5,Alagoinhas,25.1,128.8,12.1,38.4,4,2005
6,Alagoinhas,25.8,128.8,12.1,38.4,2,2000
7,Alagoinhas,22.1,128.8,12.1,38.4,8,2014
8,Alagoinhas,23.1,128.8,12.1,38.4,9,2008
9,Alagoinhas,22.7,128.8,12.1,38.4,6,2005
10,Alagoinhas,22.0,128.8,12.1,38.4,8,2000
11,Alagoinhas,25.4,128.8,12.1,38.4,11,2006
12,Alagoinhas,26.8,128.8,12.1,38.4,1,2010
13,Alagoinhas,21.7,128.8,12.1,38.4,7,2005
14,Alagoinhas,27.0,128.8,12.1,38.4,3,2018
15,Alagoinhas,26.3,128.8,12.1,38.4,12,2006
16,Alagoinhas,26.1,128.8,12.1,38.4,11,2016
17,Alagoinhas,26.6,128.8,12.1,38.4,12,2010
18,Alagoinhas,26.9,128.8,12.1,38.4,3,2009
19,Alagoinhas,23.5,128.8,12.1,38.4,9,2013
20,Alagoinhas,23.8,128.8,12.1,38.4,6,2013
21,Alagoinhas,25.4,128.8,12.1,38.4,3,2007
22,Alagoinhas,22.8,128.8,12.1,38.4,7,2013
23,Alagoinhas,26.7,128.8,12.1,38.4,1,2018
24,Alagoinhas,23.8,128.8,12.1,38.4,10,2007
25,Alagoinhas,24.8,128.8,12.1,38.4,5,2010
26,Alagoinhas,25.8,128.8,12.1,38.4,1,2011
27,Alagoinhas,26.4,128.8,12.1,38.4,1,2009
28,Alagoinhas,26.4,128.8,12.1,38.4,2,2003
29,Alagoinhas,23.9,128.8,12.1,38.4,10,2014
30,Alagoinhas,21.7,128.8,12.1,38.4,7,2000
31,Alagoinhas,26.5,128.8,12.1,38.4,12,2013
32,Alagoinhas,22.1,128.8,12.1,38.4,7,1999
33,Alagoinhas,22.1,128.8,12.1,38.4,7,2007
34,Alagoinhas,22.5,128.8,12.1,38.4,9,2011
35,Alagoinhas,24.0,128.8,12.1,38.4,5,2018
36,Alagoinhas,25.6,128.8,12.1,38.4,2,2002
37,Alagoinhas,22.7,128.8,12.1,38.4,6,2004
38,Alagoinhas,26.3,128.8,12.1,38.4,12,2016
39,Alagoinhas,25.5,128.8,12.1,38.4,11,2019
40,Alagoinhas,25.7,128.8,12.1,38.4,2,2014
41,Alagoinhas,22.2,128.8,12.1,38.4,7,2010
42,Alagoinhas,26.8,128.8,12.1,38.4,2,2016
43,Alagoinhas,27.1,128.8,12.1,38.4,3,2010
44,Alagoinhas,22.5,128.8,12.1,38.4,9,2010
45,Alagoinhas,24.2,128.8,12.1,38.4,5,1999
46,Alagoinhas,23.9,128.8,12.1,38.4,5,2008
47,Alagoinhas,24.4,128.8,12.1,38.4,5,2013
48,Alagoinhas,25.9,128.8,12.1,38.4,3,2002
49,Alagoinhas,25.8,128.8,12.1,38.4,4,2003
50,Alagoinhas,23.7,128.8,12.1,38.4,5,2009
51,Alagoinhas,25.0,128.8,12.1,38.4,11,2003
52,Alagoinhas,25.1,128.8,12.1,38.4,12,1999
53,Alagoinhas,22.7,128.8,12.1,38.4,6,2000
54,Alagoinhas,25.4,128.8,12.1,38.4,1,2000
55,Alagoinhas,26.4,128.8,12.1,38.4,2,2007
56,Alagoinhas,25.1,128.8,12.1,38.4,11,2002
57,Alagoinhas,22.5,128.8,12.1,38.4,8,2009
58,Alagoinhas,23.7,128.8,12.1,38.4,9,2016
59,Alagoinhas,27.2,128.8,12.1,38.4,3,2013
60,Alagoinhas,23.0,128.8,12.1,38.4,8,2016
61,Alagoinhas,26.8,128.8,12.1,38.4,2,2013
62,Alagoinhas,26.1,128.8,12.1,38.4,3,2014
63,Alagoinhas,25.8,128.8,12.1,38.4,3,2001
64,Alagoinhas,23.4,128.8,12.1,38.4,9,2006
65,Alagoinhas,25.9,128.8,12.1,38.4,12,2003
66,Alagoinhas,22.7,128.8,12.1,38.4,6,2003
67,Alagoinhas,22.4,128.8,12.1,38.4,6,2006
68,Alagoinhas,23.1,128.8,12.1,38.4,6,2019
69,Alagoinhas,25.4,128.8,12.1,38.4,4,2011
70,Alagoinhas,25.0,128.8,12.1,38.4,11,2013
71,Alagoinhas,26.3,128.8,12.1,38.4,4,2014
72,Alagoinhas,26.4,128.8,12.1,38.4,2,2011
73,Alagoinhas,22.3,128.8,12.1,38.4,8,2011
74,Alagoinhas,26.9,128.8,12.1,38.4,1,2013
75,Alagoinhas,25.4,128.8,12.1,38.4,1,2002
76,Alagoinhas,27.1,128.8,12.1,38.4,2,2010
77,Alagoinhas,22.5,128.8,12.1,38.4,6,2008
78,Alagoinhas,26.1,128.8,12.1,38.4,2,2001
79,Alagoinhas,22.2,128.8,12.1,38.4,8,2015
80,Alagoinhas,25.9,128.8,12.1,38.4,4,2013
81,Alagoinhas,22.2,128.8,12.1,38.4,9,2007
82,Alagoinhas,26.4,128.8,12.1,38.4,1,2019
83,Alagoinhas,24.9,128.8,12.1,38.4,4,2002
84,Alagoinhas,26.7,128.8,12.1,38.4,1,1999
85,Alagoinhas,23.5,128.8,12.1,38.4,6,2015
86,Alagoinhas,24.5,128.8,12.1,38.4,5,2014
87,Alagoinhas,22.9,128.8,12.1,38.4,6,2018
88,Alagoinhas,27.0,128.8,12.1,38.4,1,2005
89,Alagoinhas,23.2,128.8,12.1,38.4,9,2014
90,Alagoinhas,22.9,128.8,12.1,38.4,7,2015
91,Alagoinhas,22.7,128.8,12.1,38.4,7,2002
92,Alagoinhas,23.4,128.8,12.1,38.4,9,2018
93,Alagoinhas,22.9,128.8,12.1,38.4,6,2010
94,Alagoinhas,26.1,128.8,12.1,38.4,12,2007
95,Alagoinhas,26.8,128.8,12.1,38.4,3,2015
96,Alagoinhas,26.0,128.8,12.1,38.4,12,2005
97,Alagoinhas,25.6,128.8,12.1,38.4,12,2011
98,Alagoinhas,24.8,128.8,12.1,38.4,4,2000
99,Alagoinhas,25.0,128.8,12.1,38.4,11,2014
100,Alagoinhas,26.1,128.8,12.1,38.4,3,2012
101,Alagoinhas,26.2,128.8,12.1,38.4,1,2008
102,Alagoinhas,25.9,128.8,12.1,38.4,12,2014
103,Alagoinhas,27.2,128.8,12.1,38.4,1,2007
104,Alagoinhas,24.8,128.8,12.1,38.4,10,2005
105,Alagoinhas,26.3,128.8,12.1,38.4,1,2015
106,Alagoinhas,26.2,128.8,12.1,38.4,4,2019
107,Alagoinhas,24.9,128.8,12.1,38.4,1,2001
108,Alagoinhas,25.2,128.8,12.1,38.4,11,2018
109,Alagoinhas,25.7,128.8,12.1,38.4,1,2004
110,Alagoinhas,26.8,128.8,12.1,38.4,11,2015
111,Alagoinhas,25.9,128.8,12.1,38.4,4,2006
112,Alagoinhas,24.1,128.8,12.1,38.4,10,2008
113,Alagoinhas,23.9,128.8,12.1,38.4,5,2000
114,Alagoinhas,25.9,128.8,12.1,38.4,3,2004
115,Alagoinhas,24.3,128.8,12.1,38.4,5,2017
116,Alagoinhas,26.4,128.8,12.1,38.4,3,2008
117,Alagoinhas,22.3,128.8,12.1,38.4,7,2012
118,Alagoinhas,23.7,128.8,12.1,38.4,6,2016
119,Alagoinhas,22.9,128.8,12.1,38.4,9,2003
120,Alagoinhas,27.1,128.8,12.1,38.4,3,2011
121,Alagoinhas,26.7,128.8,12.1,38.4,2,2008
122,Alagoinhas,23.9,128.8,12.1,38.4,9,2015
123,Alagoinhas,24.4,128.8,12.1,38.4,10,2004
124,Alagoinhas,23.6,128.8,12.1,38.4,5,2011
125,Alagoinhas,24.1,128.8,12.1,38.4,10,2019
126,Alagoinhas,26.5,128.8,12.1,38.4,2,2015
127,Alagoinhas,25.8,128.8,12.1,38.4,4,2009
128,Alagoinhas,26.8,128.8,12.1,38.4,3,2005
129,Alagoinhas,24.8,128.8,12.1,38.4,10,2015
130,Alagoinhas,22.7,128.8,12.1,38.4,8,2018
131,Alagoinhas,22.4,128.8,12.1,38.4,7,2019
132,Alagoinhas,25.9,128.8,12.1,38.4,2,2012
133,Alagoinhas,25.1,128.8,12.1,38.4,12,2000
134,Alagoinhas,24.2,128.8,12.1,38.4,10,2011
135,Alagoinhas,23.8,128.8,12.1,38.4,10,2000
136,Alagoinhas,22.8,128.8,12.1,38.4,9,2000
137,Alagoinhas,24.0,128.8,12.1,38.4,10,2012
138,Alagoinhas,22.8,128.8,12.1,38.4,9,2001
139,Alagoinhas,24.3,128.8,12.1,38.4,10,2013
140,Alagoinhas,23.3,128.8,12.1,38.4,10,1999
141,Alagoinhas,25.5,128.8,12.1,38.4,4,2012
142,Alagoinhas,25.7,128.8,12.1,38.4,11,2004
143,Alagoinhas,22.1,128.8,12.1,38.4,8,2017
144,Alagoinhas,22.7,128.8,12.1,38.4,7,2016
145,Alagoinhas,22.2,128.8,12.1,38.4,8,2019
146,Alagoinhas,22.2,128.8,12.1,38.4,7,2001
147,Alagoinhas,26.0,128.8,12.1,38.4,1,2012
148,Alagoinhas,21.8,128.8,12.1,38.4,8,2004
149,Alagoinhas,23.1,128.8,12.1,38.4,9,2019
150,Alagoinhas,26.9,128.8,12.1,38.4,1,2016
151,Alagoinhas,25.7,128.8,12.1,38.4,11,2012
152,Alagoinhas,26.1,128.8,12.1,38.4,1,2014
153,Alagoinhas,25.6,128.8,12.1,38.4,11,2007
154,Alagoinhas,23.2,128.8,12.1,38.4,9,2002
155,Alagoinhas,23.6,128.8,12.1,38.4,5,2002
156,Alagoinhas,25.2,128.8,12.1,38.4,10,2010
157,Alagoinhas,26.3,128.8,12.1,38.4,12,2012
158,Alagoinhas,23.9,128.8,12.1,38.4,5,2006
159,Alagoinhas,25.4,128.8,12.1,38.4,11,2017
160,Alagoinhas,26.1,128.8,12.1,38.4,11,2010
161,Alagoinhas,26.7,128.8,12.1,38.4,3,2017
162,Alagoinhas,25.5,128.8,12.1,38.4,3,2000
163,Alagoinhas,25.4,128.8,12.1,38.4,4,2004
164,Alagoinhas,28.2,128.8,12.1,38.4,2,2019
165,Alagoinhas,23.9,128.8,12.1,38.4,10,2003
166,Alagoinhas,26.7,128.8,12.1,38.4,2,1999
167,Alagoinhas,26.1,128.8,12.1,38.4,12,2001
168,Alagoinhas,23.0,128.8,12.1,38.4,6,1999
169,Alagoinhas,26.3,128.8,12.1,38.4,12,2017
170,Alagoinhas,24.1,128.8,12.1,38.4,11,2011
171,Alagoinhas,23.1,128.8,12.1,38.4,6,2014
172,Alagoinhas,25.7,128.8,12.1,38.4,4,2017
173,Alagoinhas,23.2,128.8,12.1,38.4,6,2009
174,Alagoinhas,24.3,128.8,12.1,38.4,10,2001
175,Alagoinhas,25.3,128.8,12.1,38.4,10,2016
176,Alagoinhas,22.6,128.8,12.1,38.4,6,2011
177,Barra,28.8,407.5,11.1,43.1,12,2019
178,Barra,25.7,407.5,11.1,43.1,5,2011
179,Barra,26.7,407.5,11.1,43.1,12,2010
180,Barra,27.7,407.5,11.1,43.1,4,2017
181,Barra,26.7,407.5,11.1,43.1,3,2007
182,Barra,27.2,407.5,11.1,43.1,8,2016
183,Barra,30.2,407.5,11.1,43.1,10,2015
184,Barra,26.1,407.5,11.1,43.1,2,2002
185,Barra,28.2,407.5,11.1,43.1,12,2017
